
169527,3285,2.5
147741,762,2.0
208254,1059,4.5
198706,4069,2.5
212262,1370,3.5
201808,1197,5.0
105409,1370,3.0
195213,4022,3.0
32467,97938,5.0
93287,3253,4.0
278672,1370,2.5
193815,1370,4.0
40164,3671,4.0
156194,1120,2.0
156874,1197,3.0
144464,1059,3.0
34688,246,3.0
271657,589,4.5
51524,1197,3.0
4203,4069,3.0
125228,1396,5.0
19801,246,4.5
46777,3671,5.0
64681,589,3.0
7013,1197,3.0
281469,589,4.0
115351,1197,3.0
17606,1197,4.0
25456,1197,3.5
189906,1197,5.0
279001,3671,4.0
249461,589,4.0
137909,3285,4.0
72409,589,3.0
46200,1059,3.0
96972,1801,3.0
35520,1197,4.0
201086,1197,4.0
185030,589,4.5
129498,589,2.0
148122,4022,4.5
27975,589,4.0
175110,1197,5.0
158665,1059,4.5
83843,3253,4.5
38286,762,2.5
222638,4022,3.5
183976,1059,3.5
27855,4069,3.0
81608,1197,4.0
39017,589,4.5
185407,122922,4.5
219345,1370,4.0
250252,1396,2.0
256984,1801,3.5
128722,589,4.0
281829,589,5.0
104455,3253,4.5
251051,1801,3.0
126839,2471,2.5
157674,1197,5.0
98921,1396,2.0
163975,4022,4.0
203516,115149,5.0
275376,2471,2.5
109357,1370,5.0
97390,1197,4.0
29873,589,4.0
145518,6502,2.0
253973,3285,3.5
31778,4069,2.5
61635,1370,4.0
201457,4022,4.0
76799,1370,3.5
119080,3253,4.0
230142,762,3.0
41675,1370,3.0
114835,3671,3.0
212762,1370,3.0
130231,3671,3.5
264251,589,3.0
119040,2471,1.0
103013,762,1.0
148028,6502,3.5
73127,1370,3.0
110797,3253,5.0
206649,1197,2.5
105458,1120,3.5
210148,1370,4.0
93688,1059,4.0
143536,1120,4.0
247496,4022,3.5
99115,3253,3.5
107684,3253,3.0
32307,3671,5.0
265318,3671,5.0
32353,4069,3.0
136606,6502,4.0
83674,3285,4.0
205384,4069,1.0
268140,122922,3.5
113470,762,2.0
258780,589,2.5
212700,4022,4.0
132024,3671,5.0
77411,3253,3.0
44915,204,3.0
194019,762,3.0
15199,3253,4.0
70341,6502,4.5
99587,1370,5.0
201223,3671,4.0
71286,1801,4.0
77926,4022,2.5
132195,589,4.0
196908,4022,5.0
62134,1197,4.5
119099,589,2.5
84875,1370,3.5
171635,4022,3.0
242723,1370,3.0
39621,4022,4.5
281787,3285,2.5
269418,6502,3.5
247205,3253,3.0
72002,1370,3.5
112926,4022,3.5
281702,4022,4.0
97544,1396,4.0
39046,1059,3.0
100658,246,4.0
177349,3671,5.0
65320,3253,3.5
179794,1197,5.0
153033,2471,3.0
170778,6502,4.0
9701,1197,4.0
196277,4022,4.0
44400,1059,3.0
118556,97938,3.5
122247,1197,5.0
79333,1120,3.0
210565,6502,3.5
76131,589,5.0
278934,4022,2.0
49989,1059,0.5
16404,4022,4.0
157810,1120,4.0
261529,1370,4.0
71968,762,2.0
227042,589,3.0
90605,1197,4.0
73506,1396,4.0
212576,246,5.0
14311,4022,2.0
251311,3671,4.5
67618,589,5.0
113470,204,1.0
205236,4022,4.0
32362,1059,1.0
172849,4022,4.5
211691,6502,4.0
207993,3285,3.5
174137,589,5.0
247471,3671,5.0
2637,3253,3.0
110349,122922,4.0
196611,589,5.0
243308,4022,3.0
52886,589,3.0
255646,1396,4.0
219432,1370,3.0
72512,3285,3.5
153622,3285,2.0
41520,4022,4.0
107469,1197,4.5
217798,3671,5.0
239039,3253,2.5
152989,3253,3.0
166721,1396,4.0
70097,3253,3.0
245602,1370,3.0
273415,1197,5.0
116624,204,4.0
98443,589,4.0
99002,1197,3.0
3970,6502,3.0
142426,1396,2.0
140420,1801,2.5
183433,1197,2.0
177005,1059,3.0
232813,1370,1.5
42480,1197,5.0
246704,589,4.0
93577,115149,3.5
210688,3285,3.5
72103,3253,4.0
148796,3253,3.5
248133,1370,4.0
100474,1197,4.0
157113,122922,3.0
156211,3285,4.0
173133,1801,3.0
842,1370,5.0
215616,1396,4.0
143883,3671,4.0
228838,1396,5.0
161445,3253,4.5
76728,762,1.0
270169,1801,4.0
115835,3253,5.0
164025,115149,4.0
83549,589,1.5
257821,1396,4.0
60817,2471,3.0
64674,589,2.5
231518,1059,4.0
212781,122922,3.5
76477,4022,4.0
240521,6502,3.5
7960,115149,5.0
193452,4022,4.0
115128,3253,5.0
