userId,movieId,rating
283225,50,1.0
283225,288,1.0
283225,762,1.0
283225,1260,1.0
283225,1377,1.0
283225,1617,1.0
283225,1792,1.0
283225,1909,1.0
283225,1953,1.0
283225,2126,1.0
283225,6874,1.0
283225,6957,1.0
283225,6953,1.0
283225,14,5.0
283225,17,5.0
283225,25,5.0
283225,62,5.0
283225,105,5.0
283225,147,5.0
283225,175,5.0
283225,193,5.0
283225,222,5.0
283225,249,5.0
283225,277,5.0
283225,300,5.0
283225,307,5.0
283225,337,5.0
283225,381,5.0
283225,475,5.0
283225,524,5.0
283225,802,5.0
283225,902,5.0
283225,926,5.0
283225,1041,5.0
283225,1293,5.0
283225,1358,5.0
283225,1680,5.0
283225,1952,5.0
283225,1962,5.0
283225,2020,5.0
283225,3186,5.0
283225,3424,5.0
283225,3556,5.0
283225,3967,5.0
283225,4308,5.0
283225,4995,5.0
